Year,Price,Price including bonus payments,Volume,Butterfat,Protein
1960,,,,3.74,
1961,,,,3.77,
1962,,,,3.79,
1963,,,,3.79,
1964,,,,3.75,
1965,,,,3.75,
1966,,,,3.75,
1967,,,,3.75,
1968,,,,3.81,
1969,,,,3.80,
1970,,3.83,,3.83,
1971,,4.16,,3.82,
1972,,4.38,,3.84,
1973,,4.81,,3.86,
1974,,5.96,,3.85,
1975,,7.64,,3.82,
1976,,9.02,,3.86,
1977,,9.90,,3.85,
1978,,10.32,,3.89,
1979,,11.15,,3.88,3.36
1980,,12.52,,3.88,3.40
1981,,13.26,,3.91,3.38
1982,,14.54,,3.86,3.36
1983,,14.64,,3.90,3.24
1984,,14.61,,3.90,3.25
1985,,14.99,,3.93,3.26
1986,,15.53,,3.93,3.25
1987,,16.11,,3.94,3.26
1988,,17.28,,3.92,3.25
1989,,18.39,,3.95,3.23
1990,,18.47,,4.01,3.27
1991,,19.93,,4.04,3.29
1992,,20.95,,4.06,3.29
1993,,21.97,,4.07,3.27
1994,,22.43,,4.06,3.22
1995,24.47,24.94,"13669",4.05,3.24
1996,24.87,25.02,"13652",4.08,3.29
1997,21.95,22.12,"13850",4.07,3.30
1998,19.26,19.37,"13658",4.07,3.30
1999,18.31,18.35,"14039",4.03,3.30
2000,16.92,16.94,"13530",4.01,3.28
2001,19.25,19.26,"13748",3.99,3.29
2002,17.05,17.10,"13945",3.98,3.30
2003,18.01,18.03,"14135",3.96,3.30
2004,18.45,18.47,"13707",3.99,3.26
2005,18.46,18.47,"13634",4.02,3.27
2006,17.94,17.95,"13519",4.04,3.27
2007,20.71,20.72,"13253",4.05,3.31
2008,25.91,25.92,"12965",4.06,3.28
2009,23.70,23.72,"12855",4.00,3.27
2010,24.65,24.67,"13190",3.96,3.28
2011,27.35,27.36,"13407",4.04,3.27
2012,28.03,28.07,"13199",4.07,3.26
2013,31.63,31.65,"13293",4.03,3.26
2014,31.59,31.67,"14373",3.99,3.28
2015,24.46,24.66,"14753",4.03,3.32
2016,22.57,22.74,"14123",4.10,3.29
2017,28.71,28.88,"14708",4.08,3.31
2018,29.28,29.70,"14751",4.08,3.32
2019,28.87,29.10,"14984",4.10,3.36